"vendor_id","product_count","rank"
"527a9b54-9ccc-44fb-ae45-ae3752751017","5","1"
"e60b585a-ee85-4961-91ab-10d602d377f6","10","2"
"b4bf93bb-09ca-462d-ade8-7aa3b542de1b","10","2"
"4936fc72-b0d2-4efe-a128-049ec1e81811","10","2"
"8f5e4167-e56d-444e-8db7-e0cb4867235d","10","2"
"e216f520-800f-4132-806e-362742013fe1","10","2"
"12bf3784-0637-477c-b0f2-55ab33e238b1","10","2"
"97c2b769-76d1-4356-96c5-5a46dd5c7dea","10","2"
"42faf18f-40c6-4510-82e1-2c8b251dad2a","10","2"
"442ffb1b-1162-4f52-b40c-26b0cee8bd90","10","2"
"d4f39247-e80c-4222-9461-86d7e7788c9c","10","2"
"06d1bc18-f448-4685-a14a-1f2ebf5f2f03","10","2"
"48c110a5-25dc-4f1c-8a8c-4a49688fab83","10","2"
"605936e5-c126-4042-9d47-c28fc87065bf","10","2"
"49b10465-8c22-405c-bd84-7219f7e8436c","10","2"
"a326b267-5df6-487c-80ac-8130ca104fcf","10","2"
"8aafc792-be48-4a61-a3a5-7085df8bb3de","10","2"
"6b843798-2ddd-441e-bd3e-d1c9fecf483d","10","2"
"0b91f4dd-edb3-44a7-8653-c048bf256fac","10","2"
"d5bbce08-65b5-4885-8920-5a5738bfac7a","10","2"
"9fff0346-8501-4a76-9e0d-123400b1fa7c","10","2"
"e5814925-8a7d-4733-91bd-1d5eca90b7dc","10","2"
"956e9b0a-1604-4e05-8d2a-a58b3db2fd03","10","2"
"f84c91d2-3f95-4d39-b737-3d5f5da8cc12","10","2"
"1a6db2ab-ba8f-4811-93c1-65ff54425794","10","2"
"a871ca1a-c583-4879-8c86-9b7c77b3004c","10","2"
"b3e64450-83a0-454a-994f-6c3a70bbf577","10","2"
"69bf90f7-d8b2-430a-b798-f677dfc73332","10","2"
"099ab5cf-4e80-44ff-8a9a-5fead05481c0","10","2"
"6a1b4c73-f361-4a34-b086-d5566380bd19","10","2"
"28682456-298a-40d8-baa5-fee4c08f62b8","10","2"
"c127db70-2237-4c33-beb0-62a5a1e0e0b0","10","2"
"63a733e5-90bf-416a-aacb-56469a551319","10","2"
"074cbab1-af57-4696-80cf-928125e17608","10","2"
"11c86a83-7e68-43fb-b923-eb33c7bf97cf","10","2"
"71beeeb7-b904-4b2c-8025-41c2b022fa4c","10","2"
"7aface33-c55d-45b0-85c0-e97eb41b752b","10","2"
"4180dd2a-33ec-484a-b1d4-1ee3ecd04d7b","10","2"
"ed42ca87-806d-4a5a-a2f9-6b468b001419","10","2"
"d639f7bd-e542-4d40-9014-741ca7843a14","10","2"
"ff08c8da-bd76-4508-92d9-9c27c8261f0b","10","2"
"0f10ccb1-0808-4fe6-9cf3-17dc51cf172e","10","2"
"c217a628-068e-46db-b4ff-fd783947d326","10","2"
"04502407-3d1e-4319-b369-ea848b26112f","10","2"
"4e585a71-7e57-479f-bff0-f6b7b46f38da","10","2"
"071404dd-753c-4a43-82b6-8d27fb4c953b","10","2"
"b236be95-18dc-4fd8-bb3b-4b21850c19cf","10","2"
"893ae542-5830-487f-b235-d8a6bb467a65","10","2"
"c2074780-2b59-42ca-b441-ad479fd91750","10","2"
"5c5850cb-6677-4149-bcaa-1e79973bf381","10","2"
"28e1af75-a643-44b8-9c5e-865664be683b","10","2"
"f75103b3-b02e-4400-8f9c-219d38a498ed","10","2"
"166cdf83-1454-4da3-95ae-28cec9b4f154","10","2"
"c81e6519-b41d-4797-9bd1-ccea9cc1d921","10","2"
"f326689d-d881-4c23-8f29-09ac08131ada","10","2"
"f537dc4b-e8bc-4b88-9223-5eefabbc6a97","10","2"
"e4a41cc4-326e-4b3e-bc37-a223e184d553","10","2"
"6ddd5ed9-c6de-459f-b739-e1fddd8de360","10","2"
"d0926ed7-7fbf-4598-be76-7c5a0bf89ea6","10","2"
"afbe193f-00ab-4c40-b810-daf43cab67f4","10","2"
"525512d9-71c2-41d8-a5ee-34a0f957e4c2","10","2"
"96a42fc6-dc32-44cf-9459-0d75b9471690","10","2"
"b6e9f9b1-efad-4b56-bfb0-7491f70f1dbb","10","2"
"1c15e00b-d0e8-42ee-b0f6-e4558b699c00","10","2"
"65fbf235-b445-467e-8481-934ccaf00557","10","2"
"b7a6e397-976c-45db-845c-fa166ca06ec8","10","2"
"3e33bfe4-9e60-4c0a-9ba4-243a87f4bb69","10","2"
"5346beb9-9cab-4735-a4b2-78cf0833632e","10","2"
"dcf29262-1b48-4103-900f-3fd9a2a8e7f6","10","2"
"bde84202-5320-49d2-9f2c-1b69cead0463","10","2"
"0422396e-6e42-41f7-b1e1-81c70a6ed43d","10","2"
"67caa8d0-d066-4800-aa3c-196f7df45c0a","10","2"
"4aaf5889-43fd-4b6d-b2c3-c855e9a7c97e","10","2"
"1befcbf7-2abf-4fa8-8b6b-e90618e6d5f6","10","2"
"68a95366-5e54-44e7-b76f-0997704b080f","10","2"
"ec216b8d-f167-4f1f-9afb-f0449d1cdb42","10","2"
"5b554f2d-7b3d-4046-9897-d6dc009b3c3b","10","2"
"79c0a495-9874-41cf-b3eb-d325407325ae","10","2"
"e423881f-c43a-4e41-b2ba-d40468ce0a4e","10","2"
"39e7958f-5154-457d-9625-1bbb01d2807a","10","2"
"1a85f3d9-d3d2-496b-8e75-e58b95c1adf2","10","2"
"e73005ba-0607-4368-8ea7-997de23c1cfc","10","2"
"5e9ba3cd-2999-414f-8284-1a80d8b80445","10","2"
"5c4c00af-a4b5-4c1d-acab-97143ee173a4","10","2"
"b0687fa6-1e6f-4bd0-b2b0-5e618debf263","10","2"
"79e729ee-aa19-4d1a-be80-7e1532a94442","10","2"
"bce1d8fc-155e-4283-a4ed-602e82abc043","10","2"
"ddd0ce22-3953-47d2-b49b-d6f2896b563c","10","2"
"ab8ff2a9-169f-4551-a1aa-8b4a0eb65fa9","10","2"
"52a69fcb-815f-44d4-8887-c2099eb43bd3","10","2"
"7d2fbfaf-2a1e-4efe-b416-de0e544576b4","10","2"
"81613ea5-2e70-48e3-aea2-cd06ec2fe31f","10","2"
"6f0e1cfb-0edd-4ba7-b3ea-1409d878b961","10","2"
"ff7d72eb-c390-4776-9f2c-fbb259ab6d45","10","2"
"41881507-27fe-4940-a6c8-2602793d08c7","10","2"
"26faa254-803f-47a5-a1fe-7e063be9bd43","10","2"
"7835d3cf-975b-481b-8d0e-7081f2588e8c","10","2"
"a392286d-c201-490b-84ec-7a5eb38fe215","10","2"
"127a30c8-4950-4e3f-86d7-b80625f40842","10","2"
"d6a6be4c-a1af-49b9-8164-5959cb46365f","10","2"
"039f7613-3c93-4c2e-954c-1bee19e04531","10","2"
"d37c4161-6711-4a1d-bee2-d867bf798c4d","10","2"
"280650cd-0f08-4837-a399-c9719c5bf6aa","10","2"
"1b802994-f26f-4a75-8ab3-342e39f27c84","10","2"
"897f5873-d2b1-43b3-83d0-9c3ebc457afd","10","2"
"53a2c187-1071-41d2-972a-5104df39fe98","10","2"
"3aac29c2-9298-4b9d-9040-6e793d3485c6","10","2"
"50bd50db-193d-4e33-a8be-995e5f5c041a","10","2"
"f260ce23-4cac-49ed-9c94-4315bf7c2fcf","10","2"
"8762ddc7-5bb6-4496-848a-3617a972fb0d","10","2"
"c6c65912-1cab-48ec-93fd-979953b03288","10","2"
"b94d9b3a-12ea-4e6f-b476-89724f6ddd35","10","2"
"b6eb2c08-152a-438c-9a3c-af0b7188d5e3","10","2"
"ed1b0e55-8b00-4d97-93e9-761f4325d1cd","10","2"
"4e96229c-1901-4442-afaf-5da4e0e45276","10","2"
"e5a7a648-77a7-49cd-a363-27b72c72786e","10","2"
"98408a83-4d1f-4136-b7df-263460ab1068","10","2"
"55860562-fc87-4750-84a1-1843e383a7da","10","2"
"fc975d9f-3ba5-4f48-9e77-ce4cc488b644","10","2"
"8863e66b-b62c-4b6f-9f5e-33832e0faf4f","10","2"
"b9d848f0-1ae1-4885-8fe3-6c341be80af8","10","2"
"a05c8c42-5c6c-4557-864b-d3a93e531754","10","2"
"7e5cc0cb-aadc-458e-8e8b-fd1042a686b9","10","2"
"4a5d1d7e-3cde-4f23-a643-c726c0ba161e","10","2"
"1d6ea2f6-4b23-4d22-ba04-f14a29259053","10","2"
"8d4be4e5-c342-441a-84c4-c750851766c6","10","2"
"bf9949f4-f1c3-40c1-80f8-4504685f1238","10","2"
"4070eaed-1cf4-4926-b9c3-a7953b12a068","10","2"
"ff2d566f-355e-4f7e-85c6-b2cd050b7bfd","10","2"
"d04a328a-2a9b-44b6-a942-94eef4be2938","10","2"
"259dffb7-abab-4ca1-bd75-2d7a0e056cb1","10","2"
"fbbf18cc-0ef2-42e4-ac5e-39746df06a23","10","2"
"af6ad6ef-492d-43ed-8668-dc5c34227c52","10","2"
"990e91f7-096d-4282-ae53-f1825ac28b49","10","2"
"edbb6ab4-b86f-49b5-a63c-39e7702a3867","10","2"
"37ef1b88-0c2e-48a2-b8a8-71c16ba84441","10","2"
"52758be8-285c-4eef-8f6d-f3c2cbbfbc9b","10","2"
"8d4cd0f2-c873-48bf-90be-78e79ad8c284","10","2"
"15beee13-c7fc-495a-bb1d-da642bfc969a","10","2"
"c8d1caf5-2a6d-48f8-aec3-e6be2877182d","10","2"
"52e128a8-dc87-4e68-b1f0-46536658a66b","10","2"
"2b5910cc-e864-4b82-8c4c-ffdb1d2cd12d","10","2"
"8908c08b-a31a-4ef1-8689-979b765e28e3","10","2"
"904a821b-aa2f-4751-a421-f6c97aaca951","10","2"
"56e2c562-b239-4b87-a97a-1de0d65f5bc6","10","2"
"7ca9b9b8-efd5-4c1a-bccc-4204e86a9077","10","2"
"a221154b-61b7-455b-a273-ef17965ee8b7","10","2"
"244c8481-df02-49b2-9eb5-eaf8a7cdf396","10","2"
"21ee0db8-c59e-4252-9dd7-6d169393862f","10","2"
"79b26863-19b0-485e-bba4-f6b90c38bb56","10","2"
"b9ff1537-4406-4fa5-a562-787def3ad976","10","2"
